"","Parent_pCO2","Larvae_pCO2","mean_Perc_def","n","sd_Perc_def","se_Perc_def"
"1","Low pCO2","Low pCO2",0.208333333333333,3,0.0877971146071062,0.0506896877524852
"2","Low pCO2","Moderate pCO2",0.403666666666667,3,0.0810267445559386,0.0467808127809302
"3","Low pCO2","High pCO2",0.6005,2,0.251022907321224,0.1775
"4","Moderate pCO2","Low pCO2",0.282666666666667,3,0.126258993079041,0.0728956636417954
"5","Moderate pCO2","Moderate pCO2",0.495666666666667,3,0.186146000046558,0.107471443235453
"6","Moderate pCO2","High pCO2",0.533333333333333,3,0.093714104239081,0.054105863309298
"7","High pCO2","Low pCO2",0.445666666666667,3,0.0577090403085456,0.0333183299568137
"8","High pCO2","Moderate pCO2",0.436,3,0.058847259919218,0.0339754813554324
"9","High pCO2","High pCO2",0.432333333333333,3,0.0816843518266096,0.0471604825156731
