Parent,Treatment,Rep,ID,Generation,Year,Run ,Length,Survival ,Normal,Lethal.Deformities,dead,Percent.deformed,total individuals,,
MODERATE,High OA,B,17,3,2023,6,101.1449593,0.22,22,38,2,0.633,62,,
MODERATE,High OA,C,18,3,2023,6,102.5317054,0.29,48,52,3,0.52,103,,
HIGH,Low OA,A,19,3,2023,6,98.56703704,0.23,32,23,2,0.418,57,,
HIGH,Low OA,B,20,3,2023,6,100.4175969,0.18,20,21,1,0.512,42,,
HIGH,Low OA,C,21,3,2023,6,95.02768116,0.20,35,24,1,0.407,60,,
HIGH,Moderate OA,A,22,3,2023,6,98.43493827,0.27,12,10,1,0.455,23,,
HIGH,Moderate OA,B,23,3,2023,6,97.56125926,0.21,29,17,0,0.37,46,,
HIGH,Moderate OA,C,24,3,2023,6,93.15414141,0.27,15,14,0,0.483,29,,
HIGH,High OA,A,25,3,2023,6,101.4321053,0.24,39,29,0,0.426,68,,
HIGH,High OA,B,26,3,2023,6,90.299,0.26,51,28,0,0.354,79,,
HIGH,High OA,C,27,3,2023,6,93.42444444,0.19,28,30,0,0.517,58,,
