"","Age","Parent_pCO2","Larvae_pCO2","N","Percent_Survival","sd","se","ci"
"1",2,"Low pCO2","Low pCO2",3,19.2666666666667,4.11001622056815,2.37291897131875,10.2098462894189
"2",2,"Low pCO2","Moderate pCO2",3,17.54,0.242487113059644,0.140000000000001,0.602371382164927
"3",2,"Low pCO2","High pCO2",3,17.9366666666667,3.40473689634505,1.96572576362467,8.45783532279852
"4",2,"Moderate pCO2","Low pCO2",3,23.4866666666667,4.1349284556487,2.38730205694862,10.2717317120665
"5",2,"Moderate pCO2","Moderate pCO2",3,21.6266666666667,2.47022940904956,1.42618761427489,6.13639003169474
"6",2,"Moderate pCO2","High pCO2",3,26.8966666666667,4.14010064289907,2.39028822064992,10.2845801374674
"7",2,"High pCO2","Low pCO2",3,20.1733333333333,2.68628615998619,1.55092803758839,6.67310475457467
"8",2,"High pCO2","Moderate pCO2",3,24.7366666666667,3.61961784354831,2.08978733633619,8.99162918728277
"9",2,"High pCO2","High pCO2",3,23.0333333333333,3.18283416679747,1.83761016298646,7.90659838398903
"10",5,"Low pCO2","Low pCO2",3,9.54666666666667,2.12297746887086,1.2257016131361,5.27376839161837
"11",5,"Low pCO2","Moderate pCO2",3,10.1366666666667,1.76760666816273,1.02052818568513,4.39097838392438
"12",5,"Low pCO2","High pCO2",3,10.6766666666667,1.2780584232864,0.737887374724475,3.17487312710592
"13",5,"Moderate pCO2","Low pCO2",3,13.91,1.72426796061401,0.995506571215546,4.2833190661241
"14",5,"Moderate pCO2","Moderate pCO2",3,15.28,2.31605267643031,1.33717363619439,5.75339379592082
"15",5,"Moderate pCO2","High pCO2",3,11.2566666666667,3.03318864123769,1.75121227852149,7.53485829055128
"16",5,"High pCO2","Low pCO2",3,16.9666666666667,0.973772731869883,0.562207948874594,2.41898556591212
"17",5,"High pCO2","Moderate pCO2",3,15.5,4.40595052173762,2.54377671976139,10.9449878471545
"18",5,"High pCO2","High pCO2",3,14.4433333333333,2.41580904322617,1.39476800141736,6.0012023486656
"19",7,"Low pCO2","Low pCO2",3,9.38333333333333,3.08423950648022,1.78068650931163,7.66167567011773
"20",7,"Low pCO2","Moderate pCO2",3,7.91,1.69008875506584,0.975773197691622,4.19841321266422
"21",7,"Low pCO2","High pCO2",3,5.59666666666667,4.31388842383914,2.49062464275754,10.716292917942
"22",7,"Moderate pCO2","Low pCO2",3,10.35,2.44564919806582,1.41199622284669,6.07532940262726
"23",7,"Moderate pCO2","Moderate pCO2",3,11.97,2.84648906549806,1.64342122821063,7.07107083368868
"24",7,"Moderate pCO2","High pCO2",3,6.22,1.57645171191508,0.91016482023862,3.91612314832163
"25",7,"High pCO2","Low pCO2",3,9.98666666666667,0.980832979325906,0.566284184643875,2.43652419287192
"26",7,"High pCO2","Moderate pCO2",3,12.4533333333333,3.88595333648428,2.24355620487753,9.65324322926263
"27",7,"High pCO2","High pCO2",3,8.04333333333333,2.23585181381355,1.29086964657337,5.55416380857961
"28",12,"Low pCO2","Low pCO2",3,4.11333333333333,1.14583303030299,0.661547008491796,2.84640704194482
"29",12,"Low pCO2","Moderate pCO2",3,3.96333333333333,1.34124320439409,0.774367125105686,3.33183282466422
"30",12,"Low pCO2","High pCO2",3,4.00333333333333,1.23208495378092,0.711344579729902,3.06066869776735
"31",12,"Moderate pCO2","Low pCO2",3,4.51333333333333,1.6081148383537,0.928445534811338,3.9947787147797
"32",12,"Moderate pCO2","Moderate pCO2",3,3.66,0.631743618883483,0.364737348421208,1.56933814782609
"33",12,"Moderate pCO2","High pCO2",3,2.83,0.826377637645163,0.477109351546722,2.0528358538215
"34",12,"High pCO2","Low pCO2",3,5.64,0.745050333870135,0.430155010819743,1.85080763151898
"35",12,"High pCO2","Moderate pCO2",3,6.69666666666667,1.20176259441428,0.693837957387106,2.98534378135542
"36",12,"High pCO2","High pCO2",3,3.71,0.644670458451448,0.372200662725543,1.60145019749062
"37",16,"Low pCO2","Low pCO2",3,2.61,0.921466222929522,0.532008771857507,2.28904899448336
"38",16,"Low pCO2","Moderate pCO2",3,2.91666666666667,0.975004273494908,0.562918979763321,2.42204488490643
"39",16,"Low pCO2","High pCO2",3,2.07333333333333,1.45032180337101,0.837343683587835,3.60279908592767
"40",16,"Moderate pCO2","Low pCO2",3,2.33333333333333,0.960277737601645,0.554416610301114,2.38546214173053
"41",16,"Moderate pCO2","Moderate pCO2",3,2.20666666666667,0.386307304271267,0.223034626110935,0.959640542864864
"42",16,"Moderate pCO2","High pCO2",3,1.51333333333333,0.07371114795832,0.0425571511160124,0.183108642419671
"43",16,"High pCO2","Low pCO2",3,3.78,0.54744862772684,0.316069612585582,1.35993778138221
"44",16,"High pCO2","Moderate pCO2",3,3.55666666666667,1.48072054532019,0.854894405435224,3.67831374719341
"45",16,"High pCO2","High pCO2",3,3.44333333333333,0.660101002372617,0.381109491412172,1.63978179355801
