"","Age","Parent_pCO2","Larvae_pCO2","N","Percent_Survival","sd","se","ci"
"1",2,"Low pCO2","Low pCO2",3,100,0,0,0
"2",2,"Low pCO2","Moderate pCO2",3,100,0,0,0
"3",2,"Low pCO2","High pCO2",3,100,0,0,0
"4",2,"Moderate pCO2","Low pCO2",3,100,0,0,0
"5",2,"Moderate pCO2","Moderate pCO2",3,100,0,0,0
"6",2,"Moderate pCO2","High pCO2",3,100,0,0,0
"7",2,"High pCO2","Low pCO2",3,100,0,0,0
"8",2,"High pCO2","Moderate pCO2",3,100,0,0,0
"9",2,"High pCO2","High pCO2",3,100,0,0,0
"10",5,"Low pCO2","Low pCO2",3,52.7877953066667,23.1519205831051,13.3667675809126,57.5125590199401
"11",5,"Low pCO2","Moderate pCO2",3,57.8149833166667,10.0948260962599,5.82825056409811,25.0769381992806
"12",5,"Low pCO2","High pCO2",3,61.7357361766667,17.6019708075287,10.1625025839946,43.7257194841104
"13",5,"Moderate pCO2","Low pCO2",3,59.6361152066667,3.8404997603982,2.21731357048859,9.54033028677327
"14",5,"Moderate pCO2","Moderate pCO2",3,70.4859519133333,3.8730687731483,2.23611729876711,9.62123619958028
"15",5,"Moderate pCO2","High pCO2",3,41.29377635,5.33705195212391,3.08134838123776,13.2579720238417
"16",5,"High pCO2","Low pCO2",3,85.47694741,15.575576209249,8.99256311719346,38.6918762436368
"17",5,"High pCO2","Moderate pCO2",3,65.0489702166667,27.1537563949886,15.6772285641562,67.4536702764729
"18",5,"High pCO2","High pCO2",3,62.5957682566667,3.31531532988508,1.91409819815764,8.23569983731151
"19",7,"Low pCO2","Low pCO2",3,52.4081903133333,26.169125778465,15.1087518126539,65.0077122298225
"20",7,"Low pCO2","Moderate pCO2",3,45.00871829,9.06085674890329,5.23128808306795,22.5084159507182
"21",7,"Low pCO2","High pCO2",3,29.5245156553333,22.3969501366799,12.9308851904388,55.6371084627182
"22",7,"Moderate pCO2","Low pCO2",3,44.1897554666667,7.17956730593295,4.14512511674542,17.8350338987178
"23",7,"Moderate pCO2","Moderate pCO2",3,54.94967886,8.02585886522325,4.63373177631459,19.9373386762868
"24",7,"Moderate pCO2","High pCO2",3,23.1066280333333,4.18202674517443,2.41449426708467,10.3887303492363
"25",7,"High pCO2","Low pCO2",3,49.6765021933333,3.58206955535335,2.06810882203922,8.89835406856598
"26",7,"High pCO2","Moderate pCO2",3,52.7944431033333,25.539959365114,14.7455024145407,63.4447762154507
"27",7,"High pCO2","High pCO2",3,35.2509259466667,9.94628224421539,5.74248873113375,24.7079348145682
"28",12,"Low pCO2","Low pCO2",3,22.9115458233333,10.804495043324,6.23797812172107,26.8398535935406
"29",12,"Low pCO2","Moderate pCO2",3,22.9162376366667,7.92663623630088,4.57644556479656,19.6908560019217
"30",12,"Low pCO2","High pCO2",3,23.82117375,9.83943785169074,5.68080209234824,24.4425186298086
"31",12,"Moderate pCO2","Low pCO2",3,19.3545618033333,4.56225532437976,2.63401933964246,11.3332705019255
"32",12,"Moderate pCO2","Moderate pCO2",3,17.4353017633333,4.45086105250526,2.56970582678953,11.0565517902891
"33",12,"Moderate pCO2","High pCO2",3,11.2546599843333,5.22986530390939,3.01946414103757,12.9917056288159
"34",12,"High pCO2","Low pCO2",3,28.8423739333333,6.17742853060512,3.56654002504454,15.3455831745186
"35",12,"High pCO2","Moderate pCO2",3,27.42729402,1.25063137475515,0.722052360871878,3.10674056152743
"36",12,"High pCO2","High pCO2",3,16.4993076633333,2.71648655967959,1.56836424648101,6.74812670636299
"37",16,"Low pCO2","Low pCO2",3,14.5566482886667,7.70076868466752,4.44604087305983,19.1297698990486
"38",16,"Low pCO2","Moderate pCO2",3,16.8680187433333,5.76154301143131,3.32642840859747,14.3124662725681
"39",16,"Low pCO2","High pCO2",3,12.514578746,9.02043195105031,5.2079488151456,22.4079951858817
"40",16,"Moderate pCO2","Low pCO2",3,9.932020418,2.71125520639852,1.56534392325596,6.73513130439399
"41",16,"Moderate pCO2","Moderate pCO2",3,10.5683569586667,3.01274586737805,1.73940963753065,7.48407562507377
"42",16,"Moderate pCO2","High pCO2",3,5.80741834633333,0.674296295053559,0.389305147462739,1.67504485543607
"43",16,"High pCO2","Low pCO2",3,19.4198910966667,5.04030045035625,2.91001882180978,12.5208004272821
"44",16,"High pCO2","Moderate pCO2",3,14.2732633833333,4.37804090582757,2.52766309550274,10.8756565177518
"45",16,"High pCO2","High pCO2",3,15.2064660166667,2.00547210926561,1.15785986213679,4.98186889649018
